1,1
-0.171005,-0.701929,0.708947
0.229282,-0.280185,-0.949131
0.548243,0.248261,-0.0468812
-0.145554,0.0712487,0.791278
-0.719021,-0.0477602,-0.451303
0.0178517,-0.956457,-0.160574
0.763664,0.672089,-0.523112
0.94028,-0.802994,0.305074
0.708108,-0.707697,0.835659
-0.171143,-0.961008,0.196184
0.199666,-0.132012,0.494255
-0.0913868,-0.902731,-0.78593
-0.0405183,0.645513,0.462331
0.912601,-0.500042,-0.46642
0.703879,-0.219063,0.485819
-0.747424,0.798788,0.529362
0.0920018,0.562453,0.201451
0.568889,0.502733,0.398457
-0.126037,0.210841,0.690761
-0.290378,-0.960302,0.729753
0.905807,0.239363,-0.402259
0.400062,-0.852023,-0.30499
0.614132,0.107458,-0.659477
0.0764631,0.0200589,-0.159519
0.610043,-0.276062,0.621418
0.0958622,-0.0234863,0.420206
-0.374776,-0.931484,-0.0173411
0.826676,0.637405,-0.514608
0.225133,-0.488632,0.696232
-0.0841062,0.22099,0.73593
-0.354353,0.126797,-0.0247067
0.243388,-0.473141,0.12327
0.938398,-0.859008,-0.769272
-0.721078,0.217455,0.250787
0.119403,-0.172503,0.974725
-0.259179,0.92336,-0.0487612
-0.838973,-0.451416,0.0197543
0.143686,-0.62474,-0.342841
0.629077,0.600393,0.168527
0.32531,-0.483714,-0.610482
0.0612396,0.161933,0.516315
-0.963467,-0.594679,-0.956826
0.159803,-0.65628,-0.815834
0.390531,-0.377358,0.401621
-0.358682,0.742044,-0.770882
-0.383957,-0.517135,-0.847523
0.567282,-0.356108,-0.298939
-0.412964,0.787578,0.076321
0.244195,0.416655,-0.323286
-0.587277,-0.258035,0.193
-0.197759,0.803204,-0.645066
-0.681445,0.839737,-0.239745
-0.63827,-0.000460029,0.103975
-0.454104,-0.609929,0.726617
0.947516,0.0313889,0.468661
-0.823366,0.647432,0.951526
-0.670889,0.214714,-0.404582
0.0301727,0.80175,-0.617005
-0.893506,0.0459453,0.79965
-0.216793,0.458668,-0.458385
0.976207,-0.739091,-0.655181
-0.668859,-0.420536,-0.815443
0.0913961,-0.0588061,0.184097
-0.804629,0.48709,0.574167
0.921988,0.434606,-0.394444
0.390649,0.61124,-0.747012
0.342175,0.940351,0.467702
0.937592,-0.0294763,0.269452
-0.679412,0.0770174,-0.684603
-0.879762,0.860225,0.774065
-0.338147,0.836432,-0.965026
0.00667238,-0.832427,-0.385562
0.191229,0.258969,0.555632
-0.624674,0.45434,0.0427213
0.949493,0.376328,-0.522673
-0.444951,-0.233023,-0.911434
-0.191962,-0.890849,-0.971083
-0.72426,-0.953256,-0.000558794
0.545192,-0.632669,-0.923541
0.860589,-0.512431,0.936683
0.634654,0.149422,0.773116
0.669628,-0.843905,0.940689
-0.715934,0.347324,0.199658
0.839698,0.72265,-0.346001
-0.117581,0.672143,-0.969673
0.359746,-0.772808,-0.202696
0.448313,0.03523,-0.0935449
0.47723,0.31097,-0.0468011
-0.523329,-0.143839,0.32053
-0.44687,-0.28325,0.8081
-0.510187,-0.648596,-0.0424778
-0.737071,-0.978968,0.113617
-0.796382,-0.694902,-0.539059
0.403276,-0.855204,-0.816409
-0.942725,0.0272152,0.855733
-0.912399,-0.613039,-0.917074
-0.115095,0.835274,0.118156
0.79136,0.312504,-0.570875
-0.255441,0.789175,0.285287
-0.934911,-0.657695,-0.997963
