300,420
0.005,254.995,254.995
0.613568,254.386,254.995
1.22214,253.778,254.995
1.8307,253.169,254.995
2.43927,252.561,254.995
3.04784,251.952,254.995
3.65641,251.344,254.995
4.26498,250.735,254.995
4.87354,250.126,254.995
5.48211,249.518,254.995
6.09068,248.909,254.995
6.69925,248.301,254.995
7.30782,247.692,254.995
7.91638,247.084,254.995
8.52495,246.475,254.995
9.13352,245.866,254.995
9.74209,245.258,254.995
10.3507,244.649,254.995
10.9592,244.041,254.995
11.5678,243.432,254.995
12.1764,242.824,254.995
12.7849,242.215,254.995
13.3935,241.607,254.995
14.0021,240.998,254.995
14.6106,240.389,254.995
15.2192,239.781,254.995
15.8278,239.172,254.995
16.4363,238.564,254.995
17.0449,237.955,254.995
17.6535,237.347,254.995
18.262,236.738,254.995
18.8706,236.129,254.995
19.4792,235.521,254.995
20.0877,234.912,254.995
20.6963,234.304,254.995
21.3049,233.695,254.995
21.9134,233.087,254.995
22.522,232.478,254.995
23.1306,231.869,254.995
23.7392,231.261,254.995
24.3477,230.652,254.995
24.9563,230.044,254.995
25.5649,229.435,254.995
26.1734,228.827,254.995
26.782,228.218,254.995
27.3906,227.609,254.995
27.9991,227.001,254.995
28.6077,226.392,254.995
29.2163,225.784,254.995
29.8248,225.175,254.995
30.4334,224.567,254.995
31.042,223.958,254.995
31.6505,223.349,254.995
32.2591,222.741,254.995
32.8677,222.132,254.995
33.4762,221.524,254.995
34.0848,220.915,254.995
34.6934,220.307,254.995
35.3019,219.698,254.995
35.9105,219.089,254.995
36.5191,218.481,254.995
37.1277,217.872,254.995
37.7362,217.264,254.995
38.3448,216.655,254.995
38.9534,216.047,254.995
39.5619,215.438,254.995
40.1705,214.83,254.995
40.7791,214.221,254.995
41.3876,213.612,254.995
41.9962,213.004,254.995
42.6048,212.395,254.995
43.2133,211.787,254.995
43.8219,211.178,254.995
44.4305,210.57,254.995
45.039,209.961,254.995
45.6476,209.352,254.995
46.2562,208.744,254.995
46.8647,208.135,254.995
47.4733,207.527,254.995
48.0819,206.918,254.995
48.6904,206.31,254.995
49.299,205.701,254.995
49.9076,205.092,254.995
50.5161,204.484,254.995
51.1247,203.875,254.995
51.7333,203.267,254.995
52.3418,202.658,254.995
52.9504,202.05,254.995
53.559,201.441,254.995
54.1676,200.832,254.995
54.7761,200.224,254.995
55.3847,199.615,254.995
55.9933,199.007,254.995
56.6018,198.398,254.995
57.2104,197.79,254.995
57.819,197.181,254.995
58.4275,196.572,254.995
59.0361,195.964,254.995
59.6447,195.355,254.995
60.2532,194.747,254.995
60.8618,194.138,254.995
61.4704,193.53,254.995
62.0789,192.921,254.995
62.6875,192.312,254.995
63.2961,191.704,254.995
63.9046,191.095,254.995
64.5132,190.487,254.995
65.1218,189.878,254.995
65.7303,189.27,254.995
66.3389,188.661,254.995
66.9475,188.053,254.995
67.5561,187.444,254.995
68.1646,186.835,254.995
68.7732,186.227,254.995
69.3818,185.618,254.995
69.9903,185.01,254.995
70.5989,184.401,254.995
71.2075,183.793,254.995
71.816,183.184,254.995
72.4246,182.575,254.995
73.0332,181.967,254.995
73.6417,181.358,254.995
74.2503,180.75,254.995
74.8589,180.141,254.995
75.4674,179.533,254.995
76.076,178.924,254.995
76.6846,178.315,254.995
77.2931,177.707,254.995
77.9017,177.098,254.995
78.5103,176.49,254.995
79.1188,175.881,254.995
79.7274,175.273,254.995
80.336,174.664,254.995
80.9445,174.055,254.995
81.5531,173.447,254.995
82.1617,172.838,254.995
82.7702,172.23,254.995
83.3788,171.621,254.995
83.9874,171.013,254.995
84.596,170.404,254.995
85.2045,169.795,254.995
85.8131,169.187,254.995
86.4217,168.578,254.995
87.0302,167.97,254.995
87.6388,167.361,254.995
88.2474,166.753,254.995
88.8559,166.144,254.995
89.4645,165.535,254.995
90.0731,164.927,254.995
90.6816,164.318,254.995
91.2902,163.71,254.995
91.8988,163.101,254.995
92.5073,162.493,254.995
93.1159,161.884,254.995
93.7245,161.276,254.995
94.333,160.667,254.995
94.9416,160.058,254.995
95.5502,159.45,254.995
96.1587,158.841,254.995
96.7673,158.233,254.995
97.3759,157.624,254.995
97.9845,157.016,254.995
98.593,156.407,254.995
99.2016,155.798,254.995
99.8102,155.19,254.995
100.419,154.581,254.995
101.027,153.973,254.995
101.636,153.364,254.995
102.244,152.756,254.995
102.853,152.147,254.995
103.462,151.538,254.995
104.07,150.93,254.995
104.679,150.321,254.995
105.287,149.713,254.995
105.896,149.104,254.995
106.504,148.496,254.995
107.113,147.887,254.995
107.722,147.278,254.995
108.33,146.67,254.995
108.939,146.061,254.995
109.547,145.453,254.995
110.156,144.844,254.995
110.764,144.236,254.995
111.373,143.627,254.995
111.982,143.018,254.995
112.59,142.41,254.995
113.199,141.801,254.995
113.807,141.193,254.995
114.416,140.584,254.995
115.024,139.976,254.995
115.633,139.367,254.995
116.241,138.759,254.995
116.85,138.15,254.995
117.459,137.541,254.995
118.067,136.933,254.995
118.676,136.324,254.995
119.284,135.716,254.995
119.893,135.107,254.995
120.501,134.499,254.995
121.11,133.89,254.995
121.719,133.281,254.995
122.327,132.673,254.995
122.936,132.064,254.995
123.544,131.456,254.995
124.153,130.847,254.995
124.761,130.239,254.995
125.37,129.63,254.995
125.979,129.021,254.995
126.587,128.413,254.995
127.196,127.804,254.995
127.804,127.196,254.995
128.413,126.587,254.995
129.021,125.979,254.995
129.63,125.37,254.995
130.239,124.761,254.995
130.847,124.153,254.995
131.456,123.544,254.995
132.064,122.936,254.995
132.673,122.327,254.995
133.281,121.719,254.995
133.89,121.11,254.995
134.499,120.501,254.995
135.107,119.893,254.995
135.716,119.284,254.995
136.324,118.676,254.995
136.933,118.067,254.995
137.541,117.459,254.995
138.15,116.85,254.995
138.758,116.242,254.995
139.367,115.633,254.995
139.976,115.024,254.995
140.584,114.416,254.995
141.193,113.807,254.995
141.801,113.199,254.995
142.41,112.59,254.995
143.018,111.982,254.995
143.627,111.373,254.995
144.236,110.764,254.995
144.844,110.156,254.995
145.453,109.547,254.995
146.061,108.939,254.995
146.67,108.33,254.995
147.278,107.722,254.995
147.887,107.113,254.995
148.496,106.504,254.995
149.104,105.896,254.995
149.713,105.287,254.995
150.321,104.679,254.995
150.93,104.07,254.995
151.538,103.462,254.995
152.147,102.853,254.995
152.756,102.244,254.995
153.364,101.636,254.995
153.973,101.027,254.995
154.581,100.419,254.995
155.19,99.8102,254.995
155.798,99.2016,254.995
156.407,98.593,254.995
157.016,97.9845,254.995
157.624,97.3759,254.995
158.233,96.7673,254.995
158.841,96.1588,254.995
159.45,95.5502,254.995
160.058,94.9416,254.995
160.667,94.3331,254.995
161.276,93.7245,254.995
161.884,93.1159,254.995
162.493,92.5073,254.995
163.101,91.8988,254.995
163.71,91.2902,254.995
164.318,90.6816,254.995
164.927,90.0731,254.995
165.536,89.4645,254.995
166.144,88.8559,254.995
166.753,88.2474,254.995
167.361,87.6388,254.995
167.97,87.0302,254.995
168.578,86.4217,254.995
169.187,85.8131,254.995
169.795,85.2045,254.995
170.404,84.5959,254.995
